"套餐类型","套餐ID","套餐名称","套餐生效","失效时间","201905账期出账金额","201905账期出账用户数"
"BSS无线市话","80004709","全公纳小灵通(300元)","2009/8/22","2050/12/31","0","0"
"BSS互联网","80004721","神眼套餐宽带包月50元","2009/8/22","2050/12/31","0","0"
"BSS广告传媒业务","80002595","户外媒体其他","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002776","网优优惠","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002788","小灵通50元包1000分钟(2)","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002790","72元包月(2000分钟)","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002952","亲情套餐(20元包200分钟)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80000074","双向中继0","2009/8/22","2050/12/31","0","0"
"BSS公话","80000085","集团通信话吧0.00","2009/8/22","2050/12/31","79128.84","2763"
"BSS公话","80000107","信息通卡式公话","2009/8/22","2050/12/31","0","0"
"BSS互联网增值业务","80000116","宽视界","2009/8/22","2050/12/31","0","0"
"BSS互联网增值业务","80000231","免费网络安全","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80000275","亲情大众电话市区（29元）","2009/8/22","2050/12/31","3340.52","101"
"BSS固定电话","80000280","亲情大众电话区县（49元）","2009/8/22","2050/12/31","851.91","11"
"BSS固定电话","80000307","乙种","2009/8/22","2050/12/31","8707444.64","162528"
"BSS无线市话","80001509","亲情随身市区(66元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001582","市区套餐39元","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001919","大众电话最低消费28+1元","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001926","大众电话最低消费58元","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80001935","大众电话最低消费40元","2009/8/22","2050/12/31","42","1"
"BSS固定电话","80001937","大众电话最低消费36元","2009/8/22","2050/12/31","76","2"
"BSS互联网增值业务","80002077","2008宽带酒店电脑租用","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80002167","30B+D互联网(2000元)","2009/8/22","2050/12/31","30000","11"
"BSS无线市话","80002215","CENTREX网优组合","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80002225","CENTREX50元包月(2000分钟)","2009/8/22","2050/12/31","0","0"
"BSS公话","80000097","邮局纳费公话0.00","2009/8/22","2050/12/31","0","0"
"BSS公话","80000106","智能网卡式公话","2009/8/22","2050/12/31","0","0"
"BSS互联网增值业务","80000118","网视通","2009/8/22","2050/12/31","23900","2"
"BSS无线市话","80000122","CENTREX月租15元","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80000129","CENTREX灵通大众卡-中兴","2009/8/22","2050/12/31","0","0"
"BSS固定电话","80000151","固话亲情随身区县(99元)","2009/8/22","2050/12/31","2377.64","35"
"BSS语音增值业务","80000225","新会场(交互式会议)","2009/8/22","2050/12/31","2603.13","8"
"BSS固定电话","80000338","亲情在线区县(48元)(1+2)","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80005131","共享时长(1+0+1+3)区县69元套餐小灵通","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80005146","共享时长(1+1+1+1)市区89元ADSL包月套餐小灵通","2009/8/22","2050/12/31","0","0"
"BSS无线市话","80005149","共享时长(1+1+1+2)市区89元ADSL包月套餐小灵通","2009/8/22","2050/12/31","0","0"
